🇨🇳 央视,#genre#
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.1.21:5146
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.1.3:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.0.128:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.0.56:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.0.95:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.1.174:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.1.44:5146
湖北卫视,http://www.ye28.eu.org:7777/udp/239.77.1.93:5146
湖北卫视,http://xxy.x3322.net:4022/rtp/239.77.1.44:5146
湖北卫视,http://xxy.x3322.net:4022/rtp/239.77.1.93:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.127:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.46:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.88:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.129:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.29:5146
湖南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.5:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.127:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.46:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.88:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.129:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.29:5146
湖南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.5:5146
甘肃卫视,http://www.ye28.eu.org:7777/udp/239.77.0.189:5146
